GPS_Latitude,GPS_Longitude,Sections,GPS_Speed,Sebring Full Course
27.45178068,-81.34855338,,83.94725,
27.45181447,-81.34855854,,84.257935,
27.45184833,-81.34856415,,84.581047,
27.45188194,-81.34857019,,84.926537,
27.45191595,-81.34857661,,85.186882,
27.45195004,-81.34858335,,85.497566,
27.4519842,-81.34859039,,85.808258,
27.45201844,-81.34859771,,86.118942,
27.45205278,-81.34860536,,86.429626,
27.4520872,-81.34861324,,86.740311,
27.45212169,-81.34862136,,87.050995,
27.45215626,-81.3486297,,87.361687,
27.45219091,-81.34863827,,87.672371,
27.45222568,-81.34864708,,87.983055,
27.45226054,-81.34865607,,88.293739,
27.45229515,-81.34866512,,88.612503,
27.45233022,-81.34867437,,88.974144,
27.4523654,-81.34868373,,89.284836,
27.45240073,-81.34869313,,89.59552,
27.45243617,-81.34870254,,89.906204,
27.45247172,-81.34871193,,90.216888,
27.45250738,-81.34872127,,90.527573,
27.45254318,-81.34873054,,90.838264,
27.45257914,-81.34873967,,91.137764,
27.45261524,-81.34874865,,91.397491,
27.45265148,-81.34875745,,91.696991,
27.45268787,-81.34876603,,91.956734,
27.45272405,-81.34877426,,92.264313,
27.4527608,-81.34878216,,92.56443,
27.45279771,-81.3487897,,92.802414,
27.45283476,-81.34879685,,93.009956,
27.45287198,-81.34880357,,93.310074,
27.45290935,-81.34880981,,93.558617,
27.4529469,-81.34881548,,93.807175,
27.45298459,-81.3488207,,94.055717,
27.45302241,-81.34882548,,94.30426,
27.45306036,-81.34882982,,94.552818,
27.45309846,-81.34883369,,94.790802,
27.45313673,-81.34883704,,94.987778,
27.45317452,-81.34883995,,95.233833,
27.45321283,-81.34884249,,95.462502,
27.4532514,-81.34884467,,95.616608,
27.45328999,-81.34884644,,95.867638,
27.45332848,-81.3488478,,95.785614,
27.45336677,-81.34884886,,95.579323,
27.45340476,-81.34884967,START:TURN 2-3-4-5,95.18911,
27.45344233,-81.34885024,,94.321671,
27.45347936,-81.34885059,,93.121178,
27.45351564,-81.34885074,,91.756645,
27.45355128,-81.34885076,,90.059067,
27.45358628,-81.34885067,,88.306786,
27.45362064,-81.3488505,,86.755852,
27.453654,-81.34885028,,84.956978,
27.45368703,-81.34885005,,83.431511,
27.45371954,-81.34884987,,82.083145,
27.45375154,-81.34884976,,80.812439,
27.45378304,-81.34884976,,79.411247,
27.45381397,-81.34884989,,78.140541,
27.45384424,-81.34885019,,76.711388,
27.45387397,-81.34885061,,75.282234,
27.45390315,-81.34885115,,73.853081,
27.45393177,-81.34885179,,72.405281,
27.45395977,-81.34885255,,70.861176,
27.45398714,-81.34885348,,69.388519,
27.45401373,-81.34885458,,68.043877,
27.4540401,-81.34885594,,66.738998,
27.45406598,-81.3488576,,65.442818,
27.45409133,-81.34885969,,64.208771,
27.45411611,-81.3488624,,63.028172,
27.45414043,-81.34886569,,61.856262,
27.45416429,-81.34886963,,60.746494,
27.45418767,-81.34887427,,59.716263,
27.45421051,-81.34887975,,58.837639,
27.45423276,-81.34888618,,57.922981,
27.45425451,-81.34889343,,57.123898,
27.45427575,-81.3489015,,56.378254,
27.45429626,-81.34891033,,55.656219,
27.45431637,-81.34892022,,55.042927,
27.45433584,-81.34893115,,54.499847,
27.45435476,-81.34894296,,54.081043,
